Results,Year,Age,Previous marathons,GDP,Weight,Height,Last Time
7525.0,2011,40,2,41953433591.4101,,,
7697.0,2013,40,2,55097343447.5616,,,7525.0
7527.0,2009,49,9,92897320375.8176,66.0,176.0,7636.0
7615.0,2010,49,9,93216746661.5977,66.0,176.0,7527.0
7632.0,2004,49,9,59626020162.3816,66.0,176.0,
7636.0,2008,49,9,92507257783.5697,66.0,176.0,7674.0
7639.0,2006,49,9,68640825480.9223,66.0,176.0,7669.0
7664.0,2012,49,9,98266306615.3632,66.0,176.0,7704.0
7669.0,2005,49,9,62343022650.8742,66.0,176.0,7632.0
7674.0,2007,49,9,79041294874.4553,66.0,176.0,7639.0
7704.0,2010,49,9,93216746661.5977,66.0,176.0,7615.0
7527.0,2011,35,6,41953433591.4101,,,7572.0
7536.0,2013,35,6,55097343447.5616,,,7541.0
7541.0,2012,35,6,50412754821.9795,,,7553.0
7553.0,2011,35,6,41953433591.4101,,,7527.0
7572.0,2010,35,6,39999659233.7555,,,
7699.0,2016,35,6,70529014778.3251,,,7536.0
7527.0,2012,31,6,43310721414.0829,,,
7538.0,2013,31,6,47648211133.2183,,,7527.0
7581.0,2014,31,6,55612228233.5179,,,7538.0
7614.0,2015,31,6,64464547915.2698,,,7581.0
7636.0,2015,31,6,64464547915.2698,,,7614.0
7691.0,2016,31,6,72374224249.3997,,,7636.0
7530.0,2008,45,4,92507257783.5697,,,7664.0
7564.0,2009,45,4,92897320375.8176,,,7705.0
7664.0,2007,45,4,79041294874.4553,,,
7705.0,2009,45,4,92897320375.8176,,,7530.0
7531.0,2016,33,3,70529014778.3251,,,7697.0
7602.0,2017,33,3,,,,7531.0
7697.0,2014,33,3,61445345999.0765,,,
7533.0,2016,33,1,70529014778.3251,,,
7538.0,2002,49,7,10977514000000.0,,,7621.0
7542.0,1999,49,7,41632027599.8531,,,7639.0
7556.0,2002,49,7,10977514000000.0,,,7538.0
7621.0,2000,49,7,10284779000000.0,,,7542.0
7624.0,2006,49,7,13855888000000.0,,,7556.0
7630.0,1997,49,7,39147844526.0838,,,
7639.0,1998,49,7,41806219378.6181,,,7630.0
7541.0,2012,39,5,43310721414.0829,,,
7621.0,2012,39,5,43310721414.0829,,,7541.0
7663.0,2012,39,5,43310721414.0829,,,7621.0
7675.0,2013,39,5,47648211133.2183,,,7663.0
7685.0,2015,39,5,64464547915.2698,,,7675.0
7542.0,2012,37,3,43310721414.0829,,,
7558.0,2012,37,3,43310721414.0829,,,7542.0
7682.0,2013,37,3,47648211133.2183,,,7558.0
7542.0,2012,45,8,43310721414.0829,,,7659.0
7585.0,2012,45,8,43310721414.0829,,,7542.0
7612.0,2012,45,8,43310721414.0829,,,7585.0
7625.0,2013,45,8,47648211133.2183,,,7612.0
7659.0,2011,45,8,31952763089.33,,,7674.0
7660.0,2014,45,8,55612228233.5179,,,7625.0
7674.0,2009,45,8,32437389116.038,,,
7676.0,2015,45,8,64464547915.2698,,,7660.0
7544.0,2016,28,3,72374224249.3997,,,
7606.0,2017,28,3,,,,7639.0
7639.0,2016,28,3,72374224249.3997,,,7544.0
7547.0,2016,33,2,70529014778.3251,,,
7564.0,2017,33,2,,,,7547.0
7548.0,2011,38,2,41953433591.4101,,,7690.0
7690.0,2010,38,2,39999659233.7555,,,
7549.0,2008,44,3,35895153327.8497,,,7663.0
7599.0,2003,44,3,14904517649.8476,,,
7663.0,2004,44,3,16095337093.8366,,,7599.0
7549.0,2014,35,3,55612228233.5179,,,7566.0
7566.0,2013,35,3,47648211133.2183,,,7691.0
7691.0,2013,35,3,47648211133.2183,,,
7549.0,2015,36,4,63767539356.6051,,,7628.0
7565.0,2017,36,4,,,,7608.0
7608.0,2016,36,4,70529014778.3251,,,7549.0
7628.0,2013,36,4,55097343447.5616,,,
7550.0,2003,37,5,14904517649.8476,,,
7576.0,2004,37,5,16095337093.8366,,,7578.0
7578.0,2004,37,5,16095337093.8366,,,7550.0
7648.0,2005,37,5,18737897744.7948,,,7576.0
7669.0,2012,37,5,50412754821.9795,,,7648.0
7551.0,2017,29,2,,,,7694.0
7694.0,2012,29,2,50412754821.9795,,,
7552.0,2010,33,5,39999659233.7555,,,7583.0
7583.0,2009,33,5,37021512048.8158,,,7641.0
7589.0,2011,33,5,41953433591.4101,,,7603.0
7603.0,2011,33,5,41953433591.4101,,,7552.0
7641.0,2008,33,5,35895153327.8497,,,
7552.0,2015,36,4,63767539356.6051,,,7681.0
7617.0,2017,36,4,,,,7552.0
7681.0,2015,36,4,63767539356.6051,,,7682.0
7682.0,2011,36,4,41953433591.4101,,,
7554.0,2016,35,7,70529014778.3251,,,7649.0
7565.0,2011,35,7,41953433591.4101,,,
7585.0,2017,35,7,,,,7554.0
7649.0,2016,35,7,70529014778.3251,,,7674.0
7674.0,2015,35,7,63767539356.6051,,,7695.0
7684.0,2014,35,7,61445345999.0765,,,7565.0
7695.0,2014,35,7,61445345999.0765,,,7684.0
7554.0,2017,29,2,,,,7692.0
7692.0,2016,29,2,70529014778.3251,,,
7556.0,2014,31,3,55612228233.5179,,,
7607.0,2015,31,3,64464547915.2698,,,7556.0
7668.0,2016,31,3,72374224249.3997,,,7607.0
7558.0,2015,31,6,64464547915.2698,,,7566.0
7566.0,2015,31,6,64464547915.2698,,,7636.0
7636.0,2014,31,6,55612228233.5179,,,7682.0
7682.0,2014,31,6,55612228233.5179,,,7684.0
7684.0,2014,31,6,55612228233.5179,,,7690.0
7690.0,2013,31,6,47648211133.2183,,,
7560.0,2015,45,4,63767539356.6051,,,7641.0
7576.0,2013,45,4,55097343447.5616,,,
7609.0,2014,45,4,61445345999.0765,,,7576.0
7641.0,2015,45,4,63767539356.6051,,,7609.0
7563.0,2017,34,5,,,,7585.0
7585.0,2016,34,5,70529014778.3251,,,7618.0
7585.0,2016,34,5,70529014778.3251,,,7694.0
7618.0,2016,34,5,70529014778.3251,,,7618.0
7618.0,2016,34,5,70529014778.3251,,,7694.0
7627.0,2015,34,5,63767539356.6051,,,
7694.0,2016,34,5,70529014778.3251,,,7627.0
7565.0,1998,51,1,863723395088.324,52.0,167.0,
7567.0,2011,28,4,41953433591.4101,,,
